Compound,Assay,PoD,Activity,Business line,MoA,Code,Description,All_Inactive
Soraphen A,BDS10a_metab_PPARa_ago_24h,,inactive,Disease control,ACC,CSAA226599,peroxisome proliferator activated receptor agonism,False
Soraphen A,BDS10b_metab_PPARa_anta_24h,,inactive,Disease control,ACC,CSAA226599,peroxisome proliferator activated receptor antagonism,False
Soraphen A,BDS11a_metab_PPARg_ago_24h,,inactive,Disease control,ACC,CSAA226599,peroxisome proliferator activated receptor agonism,False
Soraphen A,BDS11b_metab_PPARg_anta_24h,,inactive,Disease control,ACC,CSAA226599,peroxisome proliferator activated receptor antagonism,True
Soraphen A,BDS12a_metab_PPARd_ago_24h,,inactive,Disease control,ACC,CSAA226599,peroxisome proliferator activated receptor agonism,False
Soraphen A,BDS12b_metab_PPARd_anta_24h,,inactive,Disease control,ACC,CSAA226599,peroxisome proliferator activated receptor antagonism,False
Soraphen A,BDS13a_xenob_AhR_ago_24h,,inactive,Disease control,ACC,CSAA226599,aryl hydrocarbon receptor agonism,False
Soraphen A,BDS14a_hypox_Hif1a_act_24h,,inactive,Disease control,ACC,CSAA226599,Hif1a pathway activation,False
Soraphen A,BDS15a_Wnt_TCF_act_24h,,inactive,Disease control,ACC,CSAA226599,Wnt pathway activation,True
Soraphen A,BDS15b_Wnt_TCF_inhib_24h,,inactive,Disease control,ACC,CSAA226599,Wnt pathway inhibition,True
Soraphen A,BDS16a_regul_AP1_act_24h,,inactive,Disease control,ACC,CSAA226599,AP1 pathway activation,True
Soraphen A,BDS17a_stres_ESRE_act_24h,,inactive,Disease control,ACC,CSAA226599,ESRE pathway activation,False
Soraphen A,BDS1a_EDC_ERa_ago_24h,,inactive,Disease control,ACC,CSAA226599,estrogen receptor agonism,False
Soraphen A,BDS1b_EDC_ERa_anta_24h,,inactive,Disease control,ACC,CSAA226599,estrogen receptor antagonism,True
Soraphen A,BDS20a_geno_p21_act_24h,,inactive,Disease control,ACC,CSAA226599,p21 pathway activation,False
Soraphen A,BDS21a_geno_p53_act_24h,,inactive,Disease control,ACC,CSAA226599,p53 pathway activation,False
Soraphen A,BDS22a_tox_cytotox_act_24h,-4.3,active,Disease control,ACC,CSAA226599,cytotoxicity,False
Soraphen A,BDS2a_EDC_AR_ago_24h,,inactive,Disease control,ACC,CSAA226599,androgen receptor agonism,True
Soraphen A,BDS2b_EDC_AR_anta_24h,,inactive,Disease control,ACC,CSAA226599,androgen receptor antagonism,False
Soraphen A,BDS3a_EDC_PR_ago_24h,,inactive,Disease control,ACC,CSAA226599,progesterone receptor agonism,True
Soraphen A,BDS3b_EDC_PR_anta_24h,,inactive,Disease control,ACC,CSAA226599,progesterone receptor antagonism,False
Soraphen A,BDS4a_EDC_GR_ago_24h,,inactive,Disease control,ACC,CSAA226599,glucocorticoid receptor agonism,True
Soraphen A,BDS4b_EDC_GR_anta_24h,,inactive,Disease control,ACC,CSAA226599,glucocorticoid receptor antagonism,True
Soraphen A,BDS5a_EDC_TRb_ago_24h,,inactive,Disease control,ACC,CSAA226599,thyroid hormone receptor agonism,True
Soraphen A,BDS5b_EDC_TRb_anta_24h,,inactive,Disease control,ACC,CSAA226599,thyroid hormone receptor antagonism,True
Soraphen A,BDS7a_repro_RAR_ago_24h,,inactive,Disease control,ACC,CSAA226599,retinoic acid receptor agonism,True
Soraphen A,BDS7b_repro_RAR_anta_24h,,inactive,Disease control,ACC,CSAA226599,retinoic acid receptor antagonism,True
Soraphen A,BDS8a_metab_LXR_ago_24h,,inactive,Disease control,ACC,CSAA226599,liver X receptor agonism,True
Soraphen A,BDS8b_metab_LXR_anta_24h,,inactive,Disease control,ACC,CSAA226599,liver X receptor antagonism,True
Soraphen A,BDS9a_xenob_PXR_ago_24h,-7.0,active,Disease control,ACC,CSAA226599,pregnane X receptor agonism,False
Soraphen A,BDS9b_xenob_PXR_anta_24h,,inactive,Disease control,ACC,CSAA226599,pregnane X receptor antagonism,True
Soraphen A,UKN2_migration,-4.0,active,Disease control,ACC,CSAA226599,number of migrated cells,False
Soraphen A,UKN4a_DART_LUH_neurite_24h,-4.4,active,Disease control,ACC,CSAA226599,neurite area,False
Soraphen A,UL53_OXstress_SRXN1_24h_48h_72h_EP_1,-4.739690054,active,Disease control,ACC,CSAA226599,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
Soraphen A,UL53_OXstress_SRXN1_24h_48h_72h_EP_2,-5.040005162,active,Disease control,ACC,CSAA226599,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
Soraphen A,UL53_OXstress_SRXN1_24h_48h_72h_EP_3,-5.040005162,active,Disease control,ACC,CSAA226599,SRXN1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
Soraphen A,UL54_OXstress_HMOX1_24h_48h_72h_EP_1,,inactive,Disease control,ACC,CSAA226599,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 24h,False
Soraphen A,UL54_OXstress_HMOX1_24h_48h_72h_EP_2,,inactive,Disease control,ACC,CSAA226599,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 48h,False
Soraphen A,UL54_OXstress_HMOX1_24h_48h_72h_EP_3,,inactive,Disease control,ACC,CSAA226599,HMOX1-GFP protein expression in the cytoplasm; PoD at timepoint 72h,False
Soraphen A,UL55_OXstress_NRF2_3h_6h_24h_EP_1,-3.661165158,active,Disease control,ACC,CSAA226599,NRF2-GFP protein expression in the nucleus; PoD at timepoint 3h,False
Soraphen A,UL55_OXstress_NRF2_3h_6h_24h_EP_2,-3.69894829,active,Disease control,ACC,CSAA226599,NRF2-GFP protein expression in the nucleus; PoD at timepoint 6h,False
Soraphen A,UL55_OXstress_NRF2_3h_6h_24h_EP_3,-3.719148574,active,Disease control,ACC,CSAA226599,NRF2-GFP protein expression in the nucleus; PoD at timepoint 24h,False
Soraphen A,UL56_OXstress_Keap1_16h_48h_72h_EP_1,-3.846368035,active,Disease control,ACC,CSAA226599,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 16h,False
Soraphen A,UL56_OXstress_Keap1_16h_48h_72h_EP_2,-4.818728228,active,Disease control,ACC,CSAA226599,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 48h,False
Soraphen A,UL56_OXstress_Keap1_16h_48h_72h_EP_3,-4.672845488,active,Disease control,ACC,CSAA226599,Keap1 foci counts in the cytoplasm per cell; PoD at timepoint 72h,False
