Compound,Assay,PoD,Activity,Business line,MoA,Code,Cell name,Cell type,Dosage,Endpoint definition,Endpoint measure,Endpoint readout method,Endpoint type,Exposure time,Information domain,Method name,Organ,Organism,Toxicity domain,Treatment modality,All_Inactive
Soraphen A,BDS10a_metab_PPARa_ago_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,peroxisome proliferator activated receptor agonism,luciferase,luminescence,functional readout,24 h,metabolism,BDS10a_metab_RGA_PPARa_ago_24h,Bone,human,,single dose,False
Soraphen A,BDS10b_metab_PPARa_anta_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,peroxisome proliferator activated receptor antagonism,luciferase,luminescence,functional readout,24 h,metabolism,BDS10b_metab_RGA_PPARa_anta_24h,Bone,human,,single dose,False
Soraphen A,BDS11a_metab_PPARg_ago_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,peroxisome proliferator activated receptor agonism,luciferase,luminescence,functional readout,24 h,metabolism,BDS11a_metab_RGA_PPARg_ago_24h,Bone,human,,single dose,False
Soraphen A,BDS11b_metab_PPARg_anta_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,peroxisome proliferator activated receptor antagonism,luciferase,luminescence,functional readout,24 h,metabolism,BDS11b_metab_RGA_PPARg_anta_24h,Bone,human,,single dose,True
Soraphen A,BDS12a_metab_PPARd_ago_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,peroxisome proliferator activated receptor agonism,luciferase,luminescence,functional readout,24 h,metabolism,BDS12a_metab_RGA_PPARd_ago_24h,Bone,human,,single dose,False
Soraphen A,BDS12b_metab_PPARd_anta_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,peroxisome proliferator activated receptor antagonism,luciferase,luminescence,functional readout,24 h,metabolism,BDS12b_metab_RGA_PPARd_anta_24h,Bone,human,,single dose,False
Soraphen A,BDS13a_xenob_AhR_ago_24h,,inactive,Disease control,ACC,CSAA226599,H4IIE,cell line,medium,aryl hydrocarbon receptor agonism,luciferase,luminescence,functional readout,24 h,xenobiotic sensing,BDS13a_xenob_RGA_AhR_ago_24h,Liver,Rat,,single dose,False
Soraphen A,BDS14a_hypox_Hif1a_act_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,Hif1a pathway activation,luciferase,luminescence,functional readout,24 h,hypoxia,BDS14a_hypox_RGA_Hif1a_act_24h,Bone,human,,single dose,False
Soraphen A,BDS15a_Wnt_TCF_act_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,Wnt pathway activation,luciferase,luminescence,functional readout,24 h,Wnt pathway,BDS15a_Wnt_RGA_TCF_act_24h,Bone,human,,single dose,True
Soraphen A,BDS15b_Wnt_TCF_inhib_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,Wnt pathway inhibition,luciferase,luminescence,functional readout,24 h,Wnt pathway,BDS15b_Wnt_RGA_TCF_inhib_24h,Bone,human,,single dose,True
Soraphen A,BDS16a_regul_AP1_act_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,AP1 pathway activation,luciferase,luminescence,functional readout,24 h,cell cycle control,BDS16a_regul_RGA_AP1_act_24h,Bone,human,,single dose,True
Soraphen A,BDS17a_stres_ESRE_act_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,ESRE pathway activation,luciferase,luminescence,functional readout,24 h,membrane stress,BDS17a_stres_RGA_ESRE_act_24h,Bone,human,,single dose,False
Soraphen A,BDS1a_EDC_ERa_ago_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,estrogen receptor agonism,luciferase,luminescence,functional readout,24 h,EDC,BDS1a_EDC_RGA_ERa_ago_24h,Bone,human,,single dose,False
Soraphen A,BDS1b_EDC_ERa_anta_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,estrogen receptor antagonism,luciferase,luminescence,functional readout,24 h,EDC,BDS1b_EDC_RGA_ERa_anta_24h,Bone,human,,single dose,True
Soraphen A,BDS20a_geno_p21_act_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,p21 pathway activation,luciferase,luminescence,functional readout,24 h,genotoxicity,BDS20a_Geno_RGA_p21_act_24h,Bone,human,,single dose,False
Soraphen A,BDS21a_geno_p53_act_24h,,inactive,Disease control,ACC,CSAA226599,U2OS,cell line,medium,p53 pathway activation,luciferase,luminescence,functional readout,24 h,genotoxicity,BDS21a_Geno_RGA_p53_act_24h,Bone,human,,single dose,False
